MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,Date/Time,Lat,Lon,Base,DefaultPrice
9.1,25.2,0.0,4.2,11.9,N,30.0,SE,NW,6.0,9,74,34,1024.4,1021.1,1,2,14.6,24.0,No,0.2,No,9/1/2014 0:33:00,40.7467,-73.6131,B02512,10.814136831039386
8.5,27.3,0.2,7.2,12.5,E,41.0,E,NW,2.0,15,54,35,1023.8,1019.9,0,3,16.8,26.0,No,0.0,No,9/1/2014 0:37:00,40.8105,-73.96,B02512,11.27226587299825
10.1,27.9,0.0,7.2,13.0,WNW,30.0,S,NW,6.0,7,62,29,1022.0,1017.1,0,1,17.0,27.1,No,0.0,No,9/1/2014 0:38:00,40.679,-74.0111,B02512,10.366921114958362
12.1,30.9,0.0,6.2,12.4,NW,44.0,WNW,W,7.0,20,67,20,1017.3,1013.1,1,4,19.7,30.7,No,0.0,No,9/1/2014 0:39:00,40.4023,-73.9839,B02512,12.070018388992576
10.1,31.2,0.0,8.8,13.1,NW,41.0,S,W,6.0,20,45,16,1018.2,1013.7,0,1,18.7,30.4,No,0.0,No,9/1/2014 0:48:00,40.7378,-74.0395,B02512,13.553940874242727
12.4,32.1,0.0,8.4,11.1,E,46.0,SE,WSW,7.0,9,70,22,1017.9,1012.8,0,3,19.1,30.7,No,0.0,No,9/1/2014 0:48:00,40.7214,-73.9884,B02512,10.978332271941147
13.8,31.2,0.0,7.2,8.4,ESE,44.0,WSW,W,6.0,19,72,23,1014.4,1009.8,7,6,20.2,29.8,No,1.2,Yes,9/1/2014 0:49:00,40.8646,-73.9081,B02512,14.729349348353532
11.7,30.0,1.2,7.2,10.1,S,52.0,SW,NE,6.0,11,59,26,1016.4,1013.0,1,5,20.1,28.6,Yes,0.6,No,9/1/2014 1:08:00,40.7398,-74.0061,B02512,14.064296784656682
12.4,32.3,0.6,7.4,13.0,E,39.0,NNE,W,4.0,17,60,25,1017.1,1013.3,1,3,20.2,31.2,No,0.0,No,9/1/2014 1:17:00,40.6793,-74.0116,B02512,10.493873338864221
15.6,33.4,0.0,8.0,10.4,NE,33.0,NNW,NNW,2.0,13,61,27,1018.5,1013.7,0,1,22.8,32.0,No,0.0,No,9/1/2014 1:19:00,40.7328,-73.9875,B02512,13.949670716318444
15.3,33.4,0.0,8.8,9.5,WNW,59.0,N,NW,2.0,31,60,26,1012.4,1006.5,1,5,22.2,32.8,No,0.4,No,9/1/2014 1:39:00,40.6743,-73.9334,B02512,12.480826215754444
16.4,19.4,0.4,9.2,0.0,E,26.0,ENE,E,6.0,11,88,72,1010.7,1008.9,8,8,16.5,18.3,No,25.8,Yes,9/1/2014 1:41:00,40.7638,-73.9962,B02512,11.265135398525244
12.8,18.5,25.8,2.8,0.6,ESE,28.0,S,SE,13.0,13,91,79,1014.0,1014.9,8,8,14.0,16.8,Yes,0.4,No,9/1/2014 2:03:00,40.7638,-73.9811,B02512,11.248573207655177
12.0,24.3,0.4,1.2,7.5,NNE,26.0,WSW,NE,6.0,9,74,57,1020.7,1019.2,7,5,17.8,22.8,No,0.0,No,9/1/2014 2:13:00,40.7415,-73.9975,B02512,10.938660495995265
15.4,28.4,0.0,4.4,8.1,ENE,33.0,SSE,NE,9.0,15,85,31,1022.4,1018.6,8,2,16.8,27.3,No,0.0,No,9/1/2014 2:33:00,40.7445,-73.9855,B02512,14.553283200228304
15.6,26.9,0.0,6.8,8.9,E,41.0,E,E,6.0,22,65,48,1019.7,1016.5,2,4,19.8,25.1,No,0.2,No,9/1/2014 2:39:00,40.6614,-73.9409,B02512,10.319354960417755
13.3,22.2,0.2,6.6,2.3,ENE,39.0,E,E,20.0,17,70,55,1021.0,1018.6,7,7,16.5,21.2,No,0.0,No,9/1/2014 2:41:00,40.7494,-73.9946,B02512,12.693383618318034
12.9,28.0,0.0,4.4,10.7,S,52.0,S,NNE,6.0,11,61,31,1019.2,1014.8,5,7,18.8,26.7,No,0.0,No,9/1/2014 3:18:00,40.7529,-74.004,B02512,12.753039573854261
15.1,24.3,0.0,7.0,0.4,SE,39.0,SE,SE,7.0,17,69,80,1019.0,1017.1,7,7,18.9,19.7,No,0.4,No,9/1/2014 4:01:00,41.0319,-74.1813,B02512,14.223330875731225
13.6,24.1,0.4,2.6,0.5,NNW,30.0,SSW,S,6.0,6,83,49,1017.2,1013.3,8,7,17.3,23.2,No,22.6,Yes,9/1/2014 4:06:00,40.7983,-73.9628,B02512,14.43088198837966
15.1,20.4,22.6,2.4,0.2,SSE,41.0,E,S,6.0,20,82,90,1015.0,1014.1,8,8,17.0,16.3,Yes,4.2,Yes,9/1/2014 4:20:00,40.6932,-73.943,B02512,10.474812145387629
11.6,26.3,4.2,1.6,12.0,NNE,41.0,E,SW,6.0,9,66,46,1013.9,1009.5,2,2,16.7,25.2,Yes,0.2,No,9/1/2014 4:34:00,40.707,-74.0045,B02512,11.094047947232056
16.6,24.2,0.2,6.6,4.7,NW,50.0,WNW,NW,13.0,35,72,60,1007.9,1004.6,7,7,20.5,19.9,No,6.6,Yes,9/1/2014 5:02:00,40.7193,-73.9998,B02512,13.771143133785086
13.3,26.5,6.6,3.8,11.8,NW,50.0,NW,WNW,20.0,26,74,40,1007.3,1006.3,5,2,18.8,25.1,Yes,0.0,No,9/1/2014 5:11:00,40.7608,-73.9859,B02512,14.532273045073858
14.5,21.8,0.0,8.4,9.8,ENE,43.0,ESE,E,11.0,30,69,63,1015.0,1015.3,7,1,18.6,20.5,No,0.0,No,9/1/2014 5:12:00,40.8293,-73.9432,B02512,13.413573744512977
16.3,26.8,0.0,6.0,6.3,ENE,39.0,ESE,ESE,13.0,9,78,54,1018.8,1016.1,8,7,18.6,24.5,No,0.0,No,9/1/2014 5:16:00,40.7612,-73.9874,B02512,10.056825092952623
17.2,25.8,0.0,4.2,8.8,SW,41.0,NW,N,6.0,6,70,74,1014.5,1011.5,6,7,21.5,22.6,No,4.0,Yes,9/1/2014 5:25:00,40.7215,-73.9841,B02512,14.561063606278985
16.5,28.2,4.0,4.2,8.8,NE,39.0,E,N,7.0,13,76,42,1014.8,1011.4,8,1,18.0,26.3,Yes,0.0,No,9/1/2014 5:29:00,40.7778,-73.9888,B02512,11.289754495459693
15.0,29.4,0.0,6.6,11.1,NW,43.0,N,W,9.0,24,78,24,1010.8,1008.5,7,7,20.6,28.6,No,0.0,No,9/1/2014 5:45:00,40.7501,-74.0025,B02512,10.866786619332261
14.9,24.8,0.0,10.4,10.0,NNW,35.0,NNE,WNW,11.0,6,58,37,1011.7,1010.4,7,7,19.3,22.9,No,0.6,No,9/1/2014 5:55:00,40.7769,-73.9862,B02512,11.40801621035611
11.8,18.5,0.6,4.8,2.3,ENE,35.0,ESE,E,9.0,15,60,63,1018.0,1017.4,8,6,13.8,16.4,No,0.0,No,9/1/2014 5:56:00,40.7499,-73.9717,B02512,10.602625059633537
11.7,21.5,0.0,4.2,7.3,ENE,41.0,ESE,E,15.0,24,66,51,1021.1,1019.6,7,5,15.7,19.4,No,0.0,No,9/1/2014 6:04:00,40.7513,-73.935,B02512,10.653874651894196
9.6,20.3,0.0,5.0,3.6,SE,39.0,ESE,E,22.0,20,70,49,1021.9,1019.3,7,7,15.8,19.2,No,0.0,No,9/1/2014 6:08:00,40.7291,-73.9813,B02512,12.898495421833115
8.9,27.1,0.0,4.4,12.7,E,35.0,NNW,N,6.0,11,63,37,1018.1,1012.5,1,2,15.8,25.0,No,0.0,No,9/1/2014 6:14:00,40.7674,-73.9841,B02512,14.480360314549582
10.1,29.9,0.0,6.8,8.8,E,41.0,SE,WNW,2.0,13,63,36,1012.6,1010.2,1,8,17.4,29.1,No,5.4,Yes,9/1/2014 6:26:00,40.7414,-73.9983,B02512,13.015561346609351
15.5,21.1,5.4,6.4,0.9,S,31.0,SSE,NE,6.0,7,93,86,1010.1,1008.6,8,8,16.6,20.0,Yes,1.4,Yes,9/1/2014 6:35:00,40.7685,-73.8626,B02512,12.754430270790202
10.8,21.7,1.4,2.8,10.6,ESE,48.0,SSE,ESE,13.0,20,59,40,1017.6,1016.8,1,4,15.3,20.8,Yes,0.0,No,9/1/2014 6:43:00,40.8298,-73.9719,B02512,13.796276913394914
7.5,20.9,0.0,6.6,8.7,ENE,39.0,SE,E,13.0,20,61,43,1020.6,1018.3,6,7,15.3,19.8,No,0.0,No,9/1/2014 6:51:00,40.6878,-73.9562,B02512,12.761983625030506
12.8,21.0,0.0,6.4,0.8,NE,22.0,NE,ENE,7.0,6,72,54,1018.0,1015.6,8,8,16.1,20.0,No,3.4,Yes,9/1/2014 6:56:00,40.7686,-73.8626,B02512,14.423614605025092
12.6,23.1,3.4,1.6,2.3,NNW,30.0,N,NW,4.0,13,97,74,1015.8,1014.1,8,7,15.3,20.4,Yes,6.4,Yes,9/1/2014 7:01:00,40.7878,-73.5375,B02512,12.998904241037046
